TrialTag	ABTag	CDTag	ABMainRel	CDMainRel	ABSubRel	CDSubRel	ProbeCorr	ProbeArr	AB	CD	Probe
wash:clean::careful:cautious	wash:clean	careful:cautious	3	1	9	1	a	2	0	0	1
pretty:beautiful::car:auto	pretty:beautiful	None	1	None	1	None	0	0	1	0	0
pretty:beautiful::car:auto	None	car:auto	None	1	None	1	0	0	0	1	0
pretty:beautiful::car:auto	pretty:beautiful	car:auto	1	1	1	1	a	1	0	0	1
smiling:sad::illness:discomfort	smiling:sad	None	2	None	6	None	0	0	1	0	0
smiling:sad::illness:discomfort	None	illness:discomfort	None	3	None	7	0	0	0	1	0
smiling:sad::illness:discomfort	smiling:sad	illness:discomfort	2	3	6	7	a	2	0	0	1
explosion:damage::book:magazine	explosion:damage	None	3	None	7	None	0	0	1	0	0
explosion:damage::book:magazine	None	book:magazine	None	1	None	2	0	0	0	1	0
explosion:damage::book:magazine	explosion:damage	book:magazine	3	1	7	2	l	1	0	0	1
interior:exterior::start:finish	interior:exterior	None	2	None	5	None	0	0	1	0	0
interior:exterior::start:finish	None	start:finish	None	2	None	5	0	0	0	1	0
